"","datetime","u100","closest_lon","closest_lat"
"91",2024-01-04 18:00:00,6.47792053222656,-7.25,51
"92",2024-01-04 19:00:00,6.79295349121094,-7.25,51
"93",2024-01-04 20:00:00,7.09660339355469,-7.25,51
"94",2024-01-04 21:00:00,7.32183837890625,-7.25,51
"95",2024-01-04 22:00:00,8.24649047851562,-7.25,51
"96",2024-01-04 23:00:00,7.98362731933594,-7.25,51
"97",2024-01-05,7.97105407714844,-7.25,51
"98",2024-01-05 01:00:00,6.86894226074219,-7.25,51
"99",2024-01-05 02:00:00,5.57154846191406,-7.25,51
"100",2024-01-05 03:00:00,4.76908874511719,-7.25,51
"101",2024-01-05 04:00:00,4.81184387207031,-7.25,51
"102",2024-01-05 05:00:00,5.21041870117188,-7.25,51
"103",2024-01-05 06:00:00,5.267822265625,-7.25,51
"104",2024-01-05 07:00:00,5.06593322753906,-7.25,51
"105",2024-01-05 08:00:00,4.91865539550781,-7.25,51
"106",2024-01-05 09:00:00,5.10684204101562,-7.25,51
"107",2024-01-05 10:00:00,6.08578491210938,-7.25,51
"108",2024-01-05 11:00:00,5.7843017578125,-7.25,51
"109",2024-01-05 12:00:00,5.37785339355469,-7.25,51
"110",2024-01-05 13:00:00,5.03591918945312,-7.25,51
"111",2024-01-05 14:00:00,4.92988586425781,-7.25,51
"112",2024-01-05 15:00:00,4.97355651855469,-7.25,51
"113",2024-01-05 16:00:00,4.73747253417969,-7.25,51
"114",2024-01-05 17:00:00,4.91677856445312,-7.25,51
"115",2024-01-05 18:00:00,5.50234985351562,-7.25,51
"116",2024-01-05 19:00:00,5.47309875488281,-7.25,51
"117",2024-01-05 20:00:00,5.34599304199219,-7.25,51
"118",2024-01-05 21:00:00,5.28465270996094,-7.25,51
"119",2024-01-05 22:00:00,4.99525451660156,-7.25,51
"120",2024-01-05 23:00:00,4.70590209960938,-7.25,51
"121",2024-01-06,5.13394165039062,-7.25,51
"122",2024-01-06 01:00:00,5.47743225097656,-7.25,51
"123",2024-01-06 02:00:00,5.50920104980469,-7.25,51
"124",2024-01-06 03:00:00,5.1851806640625,-7.25,51
"125",2024-01-06 04:00:00,4.92141723632812,-7.25,51
"126",2024-01-06 05:00:00,4.9964599609375,-7.25,51
"127",2024-01-06 06:00:00,4.98623657226562,-7.25,51
"128",2024-01-06 07:00:00,4.42242431640625,-7.25,51
"129",2024-01-06 08:00:00,3.6094970703125,-7.25,51
"130",2024-01-06 09:00:00,2.857666015625,-7.25,51
"131",2024-01-06 10:00:00,2.89854431152344,-7.25,51
"132",2024-01-06 11:00:00,2.84184265136719,-7.25,51
"133",2024-01-06 12:00:00,2.84893798828125,-7.25,51
"134",2024-01-06 13:00:00,2.59689331054688,-7.25,51
"135",2024-01-06 14:00:00,2.03619384765625,-7.25,51
"136",2024-01-06 15:00:00,1.55709838867188,-7.25,51
"137",2024-01-06 16:00:00,1.39056396484375,-7.25,51
"138",2024-01-06 17:00:00,1.33226013183594,-7.25,51
"139",2024-01-06 18:00:00,0.928924560546875,-7.25,51
"140",2024-01-06 19:00:00,0.313461303710938,-7.25,51
"141",2024-01-06 20:00:00,-0.256866455078125,-7.25,51
"142",2024-01-06 21:00:00,-0.744308471679688,-7.25,51
"143",2024-01-06 22:00:00,-1.18426513671875,-7.25,51
"144",2024-01-06 23:00:00,-1.10429382324219,-7.25,51
"145",2024-01-07,-1.10807800292969,-7.25,51
"146",2024-01-07 01:00:00,-1.26605224609375,-7.25,51
"147",2024-01-07 02:00:00,-1.24917602539062,-7.25,51
"148",2024-01-07 03:00:00,-1.33012390136719,-7.25,51
"149",2024-01-07 04:00:00,-1.52987670898438,-7.25,51
"150",2024-01-07 05:00:00,-1.88206481933594,-7.25,51
"151",2024-01-07 06:00:00,-2.38328552246094,-7.25,51
"152",2024-01-07 07:00:00,-2.84181213378906,-7.25,51
"153",2024-01-07 08:00:00,-3.48977661132812,-7.25,51
"154",2024-01-07 09:00:00,-4.3897705078125,-7.25,51
"155",2024-01-07 10:00:00,-4.52748107910156,-7.25,51
"156",2024-01-07 11:00:00,-4.74446105957031,-7.25,51
