"","(0,0.5]","(0.5,1]","(1,1.5]","(1.5,2]","(2,2.5]","(2.5,3]","(3,3.5]","(3.5,4]","(4,4.5]","(4.5,5]","(5,5.5]","(5.5,6]","(6,6.5]","(6.5,7]","(7,7.5]","(7.5,8]","(8,8.5]","(8.5,9]","(9,9.5]","(9.5,10]","(10,10.5]","(10.5,11]","(11,11.5]","(11.5,12]","(12,12.5]","(12.5,13]","(13,13.5]","(13.5,14]","(14,14.5]","(14.5,15]","(15,15.5]","(15.5,16]","(16,16.5]","(16.5,17]","(17,17.5]","(17.5,18]","(18,18.5]","(18.5,19]","(19,19.5]","(19.5,20]","(20,20.5]","(20.5,21]","(21,21.5]","(21.5,22]","sum","cusum"
"(0,0.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.000265291396069443
"(0.5,1]",0,0,0,0,0,0,0.000530582792138885,0.00928519886243049,0.0334267159047498,0.0326308417165415,0.0127339870113332,0.0129992784074027,0.0278555965872915,0.0106116558427777,0.0196315633091388,0.0350184642811664,0.0663228490173607,0.0411201663907636,0.0350184642811664,0.0188356891209304,0.0169786493484443,0.00955049025849994,0.00504053652531941,0.0055711193174583,0.00397937094104164,0.00159174837641666,0.0037140795449722,0.000795874188208328,0,0.00530582792138885,0,0,0,0.000265291396069443,0,0,0,0,0,0,0,0,0,0,0.408814041343011,0.409079332739081
"(1,1.5]",0,0,0,0,0,0,0,0.00106116558427777,0.0236109342501804,0.10452481005136,0.20453966636954,0.175357612801902,0.258128528375568,0.150420221571374,0.184112228872193,0.267679018634068,0.467708731270427,0.387060146865317,0.387856021053525,0.274046012139734,0.229211766203998,0.177214652574388,0.118319962646971,0.0997495649221105,0.0777303790483467,0.0273250137951526,0.0236109342501804,0.0106116558427777,0.0111422386349166,0.00636699350566662,0.00689757629780551,0.00636699350566662,0.0055711193174583,0.00318349675283331,0.0018570397724861,0.0018570397724861,0.00132645698034721,0.00159174837641666,0.00212233116855554,0.000265291396069443,0,0,0,0,3.6984273526041,4.10750668534318
"(1.5,2]",0,0,0,0,0,0,0,0,0,0,0.00344878814890275,0.0236109342501804,0.0673840146016384,0.0886073262871939,0.146971433422471,0.220191858737637,0.368489749140456,0.457627658219789,0.61388429050469,0.578865826223524,0.538541534020969,0.402181756441275,0.322063754828303,0.22868118341186,0.197376798675665,0.100545439110319,0.0939131542085827,0.0360796298654442,0.0283861793794304,0.0230803514580415,0.00742815908994439,0.00955049025849994,0.00822403327815272,0.0018570397724861,0.00291820535676387,0.00265291396069443,0.0018570397724861,0.00106116558427777,0.000530582792138885,0.00106116558427777,0,0,0,0,4.57707245638609,8.68457914172927
"(2,2.5]",0,0,0,0,0,0,0,0,0,0,0,0.000530582792138885,0.000530582792138885,0.00159174837641666,0.00530582792138885,0.0204274374973471,0.0761386306719301,0.188622182605374,0.310921516193387,0.365836835179761,0.444363088416316,0.422609193938622,0.398202385500234,0.29977927755847,0.262373190712679,0.13344157222293,0.130788658262235,0.0620781866802496,0.0482830340846386,0.0289167621715693,0.0143257353877499,0.0145910267838193,0.00981578165456938,0.0037140795449722,0.00212233116855554,0.00238762256462498,0.00106116558427777,0.000530582792138885,0.00132645698034721,0,0,0,0,0,3.25061547603888,11.9351946177682
"(2.5,3]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.00132645698034721,0.00291820535676387,0.0156521923680971,0.0591599813234857,0.110891803557027,0.205335540557749,0.252026826265971,0.298187529182054,0.285984124962859,0.282535336813956,0.148297890402818,0.157583089265249,0.0984231079417632,0.0612823124920413,0.0440383717475275,0.013795152595611,0.013795152595611,0.00742815908994439,0.00159174837641666,0.00106116558427777,0.00318349675283331,0,0.000530582792138885,0.000265291396069443,0,0,0,0,0,2.06555880979668,14.0007534275648
"(3,3.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.000265291396069443,0,0.000530582792138885,0.0018570397724861,0.00689757629780551,0.0403242922025553,0.0827709155736661,0.146440850630332,0.165541831147332,0.221253024321915,0.129992784074027,0.136890360371832,0.0748121736915828,0.0575682329470691,0.0551806103824441,0.0201621461012776,0.0153869009720277,0.00610170210959718,0.00159174837641666,0.00106116558427777,0.00159174837641666,0,0.000265291396069443,0.000265291396069443,0,0,0.000265291396069443,0,0,1.16728214270555,15.1680355702704
"(3.5,4]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000530582792138885,0.000265291396069443,0.0018570397724861,0.00848932467422217,0.0570376501549302,0.0710980941466106,0.108769472388471,0.107443015408124,0.110626512160958,0.0819750413854578,0.0535888620060274,0.0408548749946942,0.018570397724861,0.00795874188208328,0.00530582792138885,0.00291820535676387,0.00132645698034721,0.000265291396069443,0.000265291396069443,0,0,0,0.000530582792138885,0,0,0,0.679676556729912,15.8477121270003
"(4,4.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.00106116558427777,0.00848932467422217,0.0127339870113332,0.0448342459357358,0.0477524512924997,0.0777303790483467,0.0591599813234857,0.0456301201239441,0.043773080351458,0.0167133579523749,0.0175092321405832,0.00848932467422217,0.00769345048601384,0.00344878814890275,0.00106116558427777,0.000530582792138885,0.000265291396069443,0.000530582792138885,0.000265291396069443,0,0,0,0,0.397937094104164,16.2456492211045
"(4.5,5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795874188208328,0.000265291396069443,0.00848932467422217,0.0153869009720277,0.0262638482108748,0.0382019610339997,0.0244068084383887,0.0331614245086803,0.0198968547052082,0.0159174837641666,0.00769345048601384,0.00344878814890275,0.00212233116855554,0.00265291396069443,0.000530582792138885,0.000530582792138885,0.000530582792138885,0.000795874188208328,0,0,0,0,0.201090878220638,16.4467400993251
"(5,5.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.00291820535676387,0.00583641071352774,0.00901990746636105,0.0119381128231249,0.0204274374973471,0.0183051063287915,0.0140604439916805,0.00981578165456938,0.00822403327815272,0.00212233116855554,0.00106116558427777,0.000530582792138885,0,0.000265291396069443,0,0,0,0,0,0.10479010144743,16.5515302007725
"(5.5,6]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.000265291396069443,0.00291820535676387,0.00477524512924997,0.0106116558427777,0.00901990746636105,0.00636699350566662,0.00663228490173607,0.00238762256462498,0.00424466233711108,0.0018570397724861,0,0,0,0,0,0,0,0,0.0493441996689163,16.6008744004414
"(6,6.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0,0.00265291396069443,0.00212233116855554,0.00238762256462498,0.00450995373318053,0.00132645698034721,0.000795874188208328,0.000265291396069443,0.000530582792138885,0,0.000265291396069443,0,0,0,0,0,0.0151216095759582,16.6159960100174
"(6.5,7]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.00318349675283331,0.000265291396069443,0.00106116558427777,0.00132645698034721,0.000530582792138885,0.000265291396069443,0,0,0,0,0,0,0,0,0.00689757629780551,16.6228935863152
"(7,7.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795874188208328,0,0.000795874188208328,0,0,0.000530582792138885,0.000265291396069443,0,0,0,0,0,0,0,0.00238762256462498,16.6252812088798
"(7.5,8]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.000265291396069443,0,0,0,0,0,0,0,0,0,0.000530582792138885,16.625811791672
"(8,8.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.000530582792138885,0,0,0,0,0,0,0,0,0,0.000795874188208328,16.6266076658602
"(8.5,9]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6266076658602
"(9,9.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6266076658602
"(9.5,10]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6266076658602
"(10,10.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6266076658602
"(10.5,11]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6266076658602
"(11,11.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6266076658602
"(11.5,12]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6266076658602
"(12,12.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6266076658602
"(12.5,13]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6266076658602
"(13,13.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6266076658602
"(13.5,14]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6266076658602
"(14,14.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6266076658602
"(14.5,15]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6266076658602
"ColTotals",0,0,0,0,0,0,0.000530582792138885,0.0103463644467083,0.0570376501549302,0.137155651767902,0.220722441529776,0.212498408251624,0.353898722356636,0.251230952077762,0.356551636317331,0.544908527526635,0.981578165456938,1.09061292924148,1.40922789592088,1.35590432531092,1.47687720191859,1.35590432531092,1.35457786833057,1.1694044738741,1.2076064349081,0.714960312407148,0.767222717432828,0.474341016172164,0.347001146058831,0.314635595738359,0.151216095759582,0.124156373360499,0.0814444585933189,0.0400590008064858,0.0244068084383887,0.0196315633091388,0.00689757629780551,0.00477524512924997,0.00610170210959718,0.00238762256462498,0.000530582792138885,0.000265291396069443,0,0,16.6266076658602,NA
"ColCumSum",0,0,0,0,0,0,0.000530582792138885,0.0108769472388472,0.0679145973937773,0.205070249161679,0.425792690691455,0.638291098943079,0.992189821299716,1.24342077337748,1.59997240969481,2.14488093722144,3.12645910267838,4.21707203191986,5.62629992784074,6.98220425315166,8.45908145507025,9.81498578038117,11.1695636487117,12.3389681225858,13.546574557494,14.2615348699011,15.0287575873339,15.5030986035061,15.8500997495649,16.1647353453033,16.3159514410629,16.4401078144234,16.5215522730167,16.5616112738232,16.5860180822616,16.6056496455707,16.6125472218685,16.6173224669978,16.6234241691073,16.625811791672,16.6263423744641,16.6266076658602,16.6266076658602,16.6266076658602,NA,NA
