"","(0,0.5]","(0.5,1]","(1,1.5]","(1.5,2]","(2,2.5]","(2.5,3]","(3,3.5]","(3.5,4]","(4,4.5]","(4.5,5]","(5,5.5]","(5.5,6]","(6,6.5]","(6.5,7]","(7,7.5]","(7.5,8]","(8,8.5]","(8.5,9]","(9,9.5]","(9.5,10]","(10,10.5]","(10.5,11]","(11,11.5]","(11.5,12]","(12,12.5]","(12.5,13]","(13,13.5]","(13.5,14]","(14,14.5]","(14.5,15]","(15,15.5]","(15.5,16]","(16,16.5]","(16.5,17]","(17,17.5]","(17.5,18]","(18,18.5]","(18.5,19]","(19,19.5]","(19.5,20]","(20,20.5]","(20.5,21]","(21,21.5]","(21.5,22]","sum","cusum"
"(0,0.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(0.5,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(1,1.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.000265291396069443
"(1.5,2]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443
"(2,2.5]",0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.000530582792138885,0.000265291396069443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106116558427777,0.00132645698034721
"(2.5,3]",0,0,0,0,0,0,0,0,0,0,0,0,0.00159174837641666,0.00318349675283331,0.00238762256462498,0.00106116558427777,0.000265291396069443,0,0.000265291396069443,0.000265291396069443,0.000530582792138885,0.000530582792138885,0,0,0,0.000265291396069443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103463644467083,0.0116728214270555
"(3,3.5]",0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.00238762256462498,0.00689757629780551,0.0127339870113332,0.016182775160236,0.00344878814890275,0.0018570397724861,0.00159174837641666,0.00106116558427777,0.00132645698034721,0.00106116558427777,0.000265291396069443,0.000530582792138885,0.000265291396069443,0,0.000265291396069443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0501400738571247,0.0618128952841802
"(3.5,4]",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.00265291396069443,0.00928519886243049,0.0241415170423193,0.0289167621715693,0.0188356891209304,0.0132645698034721,0.00928519886243049,0.00822403327815272,0.00450995373318053,0.0037140795449722,0.00212233116855554,0.000265291396069443,0.00106116558427777,0.000795874188208328,0,0,0.000265291396069443,0,0.000265291396069443,0,0,0,0,0,0,0,0,0,0,0,0.127870452905471,0.189683348189652
"(4,4.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795874188208328,0.00132645698034721,0.00875461607029161,0.0143257353877499,0.0384672524300692,0.0382019610339997,0.0400590008064858,0.0326308417165415,0.0214886030816249,0.011407530030986,0.00955049025849994,0.00504053652531941,0.00689757629780551,0.00318349675283331,0.0018570397724861,0.0018570397724861,0.000265291396069443,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236109342501804,0.425792690691455
"(4.5,5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795874188208328,0.00397937094104164,0.0119381128231249,0.0220191858737637,0.0554459017785135,0.0541194447981663,0.0504053652531941,0.0331614245086803,0.0230803514580415,0.0132645698034721,0.0164480665563054,0.00610170210959718,0.00663228490173607,0.00636699350566662,0.000265291396069443,0.000530582792138885,0,0,0,0,0,0,0,0,0,0,0,0,0.30455452268772,0.730347213379176
