"","SD_tide"
"HAT",1.9449099041821
"MHWS",1.59863169752041
"MHWN",0.777539984066504
"MSL",0
"MLWN",-0.777539984066504
"MLWS",-1.59863169752041
"LAT",-1.92036417848298
