"","(0,0.5]","(0.5,1]","(1,1.5]","(1.5,2]","(2,2.5]","(2.5,3]","(3,3.5]","(3.5,4]","(4,4.5]","(4.5,5]","(5,5.5]","(5.5,6]","(6,6.5]","(6.5,7]","(7,7.5]","(7.5,8]","(8,8.5]","(8.5,9]","(9,9.5]","(9.5,10]","(10,10.5]","(10.5,11]","(11,11.5]","(11.5,12]","(12,12.5]","(12.5,13]","(13,13.5]","(13.5,14]","(14,14.5]","(14.5,15]","(15,15.5]","(15.5,16]","(16,16.5]","(16.5,17]","(17,17.5]","(17.5,18]","(18,18.5]","(18.5,19]","(19,19.5]","(19.5,20]","(20,20.5]","(20.5,21]","(21,21.5]","(21.5,22]","sum","cusum"
"(0,0.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(0.5,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(1,1.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(1.5,2]",0,0,0,0,0,0,0,0,0,0.00159174837641666,0.00238762256462498,0.00636699350566662,0.00716286769387495,0.000530582792138885,0,0.000795874188208328,0.000530582792138885,0,0.000265291396069443,0.000265291396069443,0,0,0,0,0.000265291396069443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201621461012776,0.0201621461012776
"(2,2.5]",0,0,0,0,0,0,0,0,0,0,0.000530582792138885,0.0116728214270555,0.059955855511694,0.0570376501549302,0.0424466233711108,0.0201621461012776,0.0108769472388472,0.00663228490173607,0.00450995373318053,0.00424466233711108,0.00504053652531941,0.00212233116855554,0.00106116558427777,0.00132645698034721,0.000530582792138885,0,0.000265291396069443,0,0,0,0,0.000530582792138885,0.000265291396069443,0,0,0,0,0,0,0,0,0,0,0,0.229211766203998,0.249373912305276
"(2.5,3]",0,0,0,0,0,0,0,0,0,0,0,0.00238762256462498,0.011407530030986,0.0543847361942357,0.0986883993378327,0.128931618489749,0.10930005518061,0.0543847361942357,0.0382019610339997,0.0360796298654442,0.0368755040536525,0.0291820535676387,0.0201621461012776,0.0127339870113332,0.00795874188208328,0.00238762256462498,0.00132645698034721,0,0.000530582792138885,0.000530582792138885,0.000265291396069443,0.000265291396069443,0,0.000265291396069443,0,0,0,0,0.000530582792138885,0,0,0,0,0,0.646780423617301,0.896154335922577
"(3,3.5]",0,0,0,0,0,0,0,0,0,0,0,0,0.00132645698034721,0.00530582792138885,0.018570397724861,0.0514665308374719,0.113810008913791,0.11434059170593,0.124686956152638,0.115667048686277,0.100545439110319,0.0798527102169022,0.0806485844051106,0.0466912857082219,0.0567723587588607,0.0188356891209304,0.018570397724861,0.00716286769387495,0.0018570397724861,0.00132645698034721,0.000530582792138885,0.0018570397724861,0.00159174837641666,0.000530582792138885,0,0,0,0.000530582792138885,0.000265291396069443,0,0,0,0,0,0.962742476336007,1.85889681225858
"(3.5,4]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.00450995373318053,0.0153869009720277,0.0297126363597776,0.106116558427777,0.120442293815527,0.125217538944777,0.113810008913791,0.114605883101999,0.111422386349166,0.097096650961416,0.0522624050256802,0.0464259943121525,0.0228150600619721,0.0132645698034721,0.00848932467422217,0.00610170210959718,0.00504053652531941,0.00159174837641666,0.000265291396069443,0.000265291396069443,0.000265291396069443,0,0.000265291396069443,0,0.000265291396069443,0,0,0,0,0.995903900844688,2.85480071310327
"(4,4.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.00159174837641666,0.0145910267838193,0.0313043847361942,0.105585975635638,0.105585975635638,0.116728214270555,0.101341313298527,0.124686956152638,0.0681798887898468,0.0588946899274163,0.0379366696379303,0.0238762256462498,0.0180398149327221,0.00875461607029161,0.00477524512924997,0.00159174837641666,0.00106116558427777,0.000795874188208328,0.000530582792138885,0,0,0.000265291396069443,0,0,0,0,0,0.826382698756314,3.68118341185959
"(4.5,5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000530582792138885,0.000795874188208328,0.0180398149327221,0.0466912857082219,0.106912432615985,0.0949743197928605,0.108504180992402,0.0657922662252218,0.0724245511269579,0.0427119147671803,0.0286514707754998,0.0283861793794304,0.0103463644467083,0.00530582792138885,0.00397937094104164,0.00212233116855554,0.000795874188208328,0.000265291396069443,0,0.000265291396069443,0,0,0,0,0,0,0.637495224754871,4.31867863661446
