"","(0,0.5]","(0.5,1]","(1,1.5]","(1.5,2]","(2,2.5]","(2.5,3]","(3,3.5]","(3.5,4]","(4,4.5]","(4.5,5]","(5,5.5]","(5.5,6]","(6,6.5]","(6.5,7]","(7,7.5]","(7.5,8]","(8,8.5]","(8.5,9]","(9,9.5]","(9.5,10]","(10,10.5]","(10.5,11]","(11,11.5]","(11.5,12]","(12,12.5]","(12.5,13]","(13,13.5]","(13.5,14]","(14,14.5]","(14.5,15]","(15,15.5]","(15.5,16]","(16,16.5]","(16.5,17]","(17,17.5]","(17.5,18]","(18,18.5]","(18.5,19]","(19,19.5]","(19.5,20]","(20,20.5]","(20.5,21]","(21,21.5]","(21.5,22]","sum","cusum"
"(0,0.5]",0,0,0,0,0,0,0,0,0,0,0.00238762256462498,0,0.00344878814890275,0.00875461607029161,0.000530582792138885,0.0018570397724861,0.00132645698034721,0.00212233116855554,0.00212233116855554,0.00238762256462498,0.000530582792138885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254679740226665,0.0254679740226665
"(0.5,1]",0,0,0,0,0,0,0,0,0,0.000530582792138885,0.00238762256462498,0.00955049025849994,0.0488136168767775,0.062343478076319,0.0960354853771382,0.181724606307568,0.291555244280317,0.168194745108027,0.119381128231249,0.119646419627319,0.0803832930090411,0.0432424975593192,0.0246720998344582,0.0257332654187359,0.0257332654187359,0.00583641071352774,0.00795874188208328,0.00159174837641666,0.00106116558427777,0.00238762256462498,0.00106116558427777,0,0.00212233116855554,0.000530582792138885,0,0,0,0,0,0,0,0,0,0,1.32247760940617,1.34794558342884
"(1,1.5]",0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0,0.00901990746636105,0.0183051063287915,0.055711193174583,0.11885054543911,0.274311303535804,0.308799185024831,0.3663674179719,0.272719555159387,0.250965660681693,0.196846215883526,0.121768750795874,0.0986883993378327,0.0681798887898468,0.0297126363597776,0.0336920073008192,0.0119381128231249,0.0140604439916805,0.00875461607029161,0.00504053652531941,0.00397937094104164,0.00450995373318053,0.00106116558427777,0.000265291396069443,0,0.000265291396069443,0.000795874188208328,0.000795874188208328,0,0,0,0,0,2.27566959548368,3.62361517891252
"(1.5,2]",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.000530582792138885,0.00769345048601384,0.0257332654187359,0.0846279553461522,0.183051063287915,0.203213209389193,0.224436521074748,0.215681905004457,0.20480495776561,0.130258075470096,0.0973619423574855,0.0546500275903052,0.0374060868457914,0.0225497686659026,0.0103463644467083,0.0108769472388472,0.00716286769387495,0.00928519886243049,0.00265291396069443,0.000795874188208328,0.000265291396069443,0,0.000265291396069443,0,0,0,0,0,0,0,1.53391485207352,5.15753003098604
"(2,2.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106116558427777,0.00504053652531941,0.0156521923680971,0.0522624050256802,0.103994227259222,0.119646419627319,0.154664883908485,0.129462201281888,0.135033320599346,0.0514665308374719,0.0514665308374719,0.0198968547052082,0.016182775160236,0.0127339870113332,0.00504053652531941,0.0037140795449722,0.0018570397724861,0.000265291396069443,0.000795874188208328,0,0,0,0,0,0,0,0,0,0.880236852158411,6.03776688314445
"(2.5,3]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795874188208328,0,0.000530582792138885,0.00238762256462498,0.0055711193174583,0.0177745235366527,0.0376713782418609,0.0644658092448746,0.0756080478797912,0.106116558427777,0.0554459017785135,0.069506345770194,0.0283861793794304,0.016182775160236,0.0148563181798888,0.00238762256462498,0.00344878814890275,0.00106116558427777,0.000795874188208328,0.000265291396069443,0,0,0,0,0,0,0,0,0,0.503257778343733,6.54102466148818
"(3,3.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795874188208328,0.00530582792138885,0.0244068084383887,0.0238762256462498,0.0570376501549302,0.0480177426885691,0.0626087694723885,0.0259985568148054,0.0267944310030137,0.0140604439916805,0.00663228490173607,0.00291820535676387,0.000265291396069443,0,0,0,0,0,0,0,0,0,0,0,0.298718111974192,6.83974277346237
"(3.5,4]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795874188208328,0.00610170210959718,0.00795874188208328,0.0111422386349166,0.0318349675283331,0.0262638482108748,0.0212233116855554,0.0164480665563054,0.0116728214270555,0.00212233116855554,0.00265291396069443,0.00132645698034721,0,0.000265291396069443,0,0,0,0,0,0,0,0,0.139808565728596,6.97955133919097
"(4,4.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00530582792138885,0.00450995373318053,0.00848932467422217,0.0103463644467083,0.0106116558427777,0.0129992784074027,0.00663228490173607,0.00212233116855554,0.000795874188208328,0.00106116558427777,0.000795874188208328,0.000530582792138885,0,0,0,0,0,0,0,0,0.0642005178488051,7.04375185703977
"(4.5,5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159174837641666,0.00132645698034721,0.00238762256462498,0.00132645698034721,0.00716286769387495,0.00663228490173607,0.00344878814890275,0.0037140795449722,0,0.000265291396069443,0.000265291396069443,0,0.000265291396069443,0,0.000265291396069443,0,0,0,0,0.0286514707754998,7.07240332781527
