"","(0,0.5]","(0.5,1]","(1,1.5]","(1.5,2]","(2,2.5]","(2.5,3]","(3,3.5]","(3.5,4]","(4,4.5]","(4.5,5]","(5,5.5]","(5.5,6]","(6,6.5]","(6.5,7]","(7,7.5]","(7.5,8]","(8,8.5]","(8.5,9]","(9,9.5]","(9.5,10]","(10,10.5]","(10.5,11]","(11,11.5]","(11.5,12]","(12,12.5]","(12.5,13]","(13,13.5]","(13.5,14]","(14,14.5]","(14.5,15]","(15,15.5]","(15.5,16]","(16,16.5]","(16.5,17]","(17,17.5]","(17.5,18]","(18,18.5]","(18.5,19]","(19,19.5]","(19.5,20]","(20,20.5]","(20.5,21]","(21,21.5]","(21.5,22]","sum","cusum"
"(0,0.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795874188208328,0,0,0.00212233116855554,0,0,0.000795874188208328,0,0,0,0,0,0,0,0,0,0.000795874188208328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00450995373318053,0.00450995373318053
"(0.5,1]",0,0,0,0,0,0,0.000265291396069443,0.00610170210959718,0.0180398149327221,0.0289167621715693,0.0252026826265971,0.0328961331126109,0.0642005178488051,0.048548325480708,0.0790568360286939,0.141400314105013,0.205600831953818,0.142461479689291,0.109830637972749,0.0867502865147078,0.0506706566492635,0.0350184642811664,0.0281208879833609,0.0177745235366527,0.0167133579523749,0.00583641071352774,0.00742815908994439,0.00504053652531941,0.00291820535676387,0.00769345048601384,0.00397937094104164,0.00159174837641666,0.00450995373318053,0.000265291396069443,0.000530582792138885,0,0.000530582792138885,0.000265291396069443,0,0,0,0,0,0,1.17815908994439,1.18266904367758
"(1,1.5]",0,0,0,0,0,0,0,0.000265291396069443,0.00238762256462498,0.0119381128231249,0.0392631266182775,0.0663228490173607,0.118585254043041,0.103198353071013,0.206396706142026,0.349919351415595,0.68073772231419,0.605925548622607,0.58072286599601,0.494503162273441,0.392100683390636,0.312247973173734,0.18066344072329,0.146971433422471,0.123360499172291,0.0469565771042914,0.0435077889553886,0.0148563181798888,0.0228150600619721,0.0156521923680971,0.00955049025849994,0.00663228490173607,0.00504053652531941,0.00238762256462498,0.00477524512924997,0.00450995373318053,0.00212233116855554,0.00106116558427777,0.00132645698034721,0.000795874188208328,0.000265291396069443,0.000530582792138885,0,0,4.59829576807165,5.78096481174923
"(1.5,2]",0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.000795874188208328,0.0018570397724861,0.00928519886243049,0.0193662719130693,0.0777303790483467,0.207723163122374,0.319676132263678,0.522624050256802,0.560030137102594,0.517583513731483,0.435077889553886,0.378040239398956,0.239558130650707,0.228150600619721,0.0875461607029161,0.106381849823847,0.0416507491829025,0.0344878814890276,0.0206927288934165,0.0119381128231249,0.011407530030986,0.00610170210959718,0.00344878814890275,0.00424466233711108,0.0018570397724861,0.000795874188208328,0.000265291396069443,0.000795874188208328,0.000530582792138885,0,0,0,0,3.84990873975975,9.63087355150898
"(2,2.5]",0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0,0.000795874188208328,0.00504053652531941,0.0127339870113332,0.0480177426885691,0.137155651767902,0.205866123349887,0.361061590050511,0.354694596544845,0.374326159853984,0.25706736279129,0.253883866038457,0.172704698841207,0.144849102253916,0.0634046436605968,0.0289167621715693,0.0230803514580415,0.00955049025849994,0.0122034042191944,0.00689757629780551,0.00159174837641666,0.00291820535676387,0.0018570397724861,0,0,0.000265291396069443,0,0,0,0,0,2.47914809626894,12.1100216477779
"(2.5,3]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.000530582792138885,0.00132645698034721,0.0153869009720277,0.0331614245086803,0.103994227259222,0.140339148520735,0.236374633897873,0.200560295428499,0.250435077889554,0.141665605501082,0.167133579523749,0.0703022199584023,0.0512012394414024,0.0228150600619721,0.0151216095759582,0.0116728214270555,0.00795874188208328,0.00344878814890275,0.0018570397724861,0.000265291396069443,0,0,0,0,0,0,0,0,1.47581603633431,13.5858376841122
"(3,3.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0,0,0,0.000265291396069443,0.00291820535676387,0.011407530030986,0.0328961331126109,0.0835667897618744,0.101341313298527,0.154664883908485,0.111157094953096,0.121768750795874,0.071893968334819,0.055711193174583,0.0429772061632497,0.0169786493484443,0.0124686956152638,0.00530582792138885,0.00265291396069443,0.00106116558427777,0.000265291396069443,0,0,0,0,0,0,0,0,0.829566195509147,14.4154038796214
"(3.5,4]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000530582792138885,0.000530582792138885,0.000265291396069443,0.00238762256462498,0.0228150600619721,0.0286514707754998,0.0708328027505412,0.0710980941466106,0.0872808693068466,0.0827709155736661,0.0405895835986247,0.043773080351458,0.0196315633091388,0.0127339870113332,0.00397937094104164,0.000530582792138885,0.000265291396069443,0.000530582792138885,0,0,0,0,0,0,0,0,0.489197334352052,14.9046012139734
"(4,4.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00424466233711108,0.00424466233711108,0.0214886030816249,0.0267944310030137,0.0408548749946942,0.0453648287278747,0.0368755040536525,0.0387325438261386,0.0222844772698332,0.0145910267838193,0.00822403327815272,0.000530582792138885,0.00132645698034721,0.000530582792138885,0,0,0,0.000265291396069443,0.000265291396069443,0.000795874188208328,0,0,0.267413727237998,15.1720149412114
"(4.5,5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00212233116855554,0.00504053652531941,0.0055711193174583,0.0193662719130693,0.018570397724861,0.020958020289486,0.0127339870113332,0.0116728214270555,0.0103463644467083,0.00212233116855554,0.0018570397724861,0.00159174837641666,0.000530582792138885,0,0,0,0,0,0,0,0.112483551933444,15.2844984931449
"(5,5.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795874188208328,0.00106116558427777,0.00583641071352774,0.00875461607029161,0.0119381128231249,0.00955049025849994,0.011407530030986,0.00955049025849994,0.00583641071352774,0.00318349675283331,0.00132645698034721,0.000795874188208328,0.000530582792138885,0.000265291396069443,0,0,0,0,0,0.0708328027505412,15.3553312958954
"(5.5,6]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000530582792138885,0.0055711193174583,0.00291820535676387,0.0037140795449722,0.00530582792138885,0.00424466233711108,0.00132645698034721,0.0037140795449722,0.000265291396069443,0,0,0,0,0,0,0,0.027590305191222,15.3829216010866
"(6,6.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00265291396069443,0.00212233116855554,0.0018570397724861,0.00212233116855554,0.000265291396069443,0.000530582792138885,0.000530582792138885,0.000530582792138885,0,0,0,0,0,0,0,0.0106116558427777,15.3935332569294
"(6.5,7]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106116558427777,0,0.000265291396069443,0.000530582792138885,0.000265291396069443,0,0,0,0,0,0,0,0,0,0.00212233116855554,15.395655588098
"(7,7.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.000530582792138885,0,0.000265291396069443,0.000265291396069443,0,0,0,0,0,0,0,0.00132645698034721,15.3969820450783
"(7.5,8]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000530582792138885,0.000265291396069443,0,0,0,0,0,0,0,0.000795874188208328,15.3977779192665
"(8,8.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3977779192665
"(8.5,9]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3977779192665
