"","(0,0.5]","(0.5,1]","(1,1.5]","(1.5,2]","(2,2.5]","(2.5,3]","(3,3.5]","(3.5,4]","(4,4.5]","(4.5,5]","(5,5.5]","(5.5,6]","(6,6.5]","(6.5,7]","(7,7.5]","(7.5,8]","(8,8.5]","(8.5,9]","(9,9.5]","(9.5,10]","(10,10.5]","(10.5,11]","(11,11.5]","(11.5,12]","(12,12.5]","(12.5,13]","(13,13.5]","(13.5,14]","(14,14.5]","(14.5,15]","(15,15.5]","(15.5,16]","(16,16.5]","(16.5,17]","(17,17.5]","(17.5,18]","(18,18.5]","(18.5,19]","(19,19.5]","(19.5,20]","(20,20.5]","(20.5,21]","(21,21.5]","(21.5,22]","sum","cusum"
"(0,0.5]",0,0,0,0,0,0,0,0,0,0,0.00132645698034721,0,0,0,0.00344878814890275,0.000530582792138885,0,0.000530582792138885,0.000265291396069443,0.000795874188208328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00689757629780551,0.00689757629780551
"(0.5,1]",0,0,0,0,0,0,0,0,0,0,0.00106116558427777,0.0018570397724861,0.0153869009720277,0.0116728214270555,0.0405895835986247,0.0700369285623329,0.0891379090793327,0.0782609618404856,0.0562417759667218,0.0450995373318053,0.0289167621715693,0.0164480665563054,0.0135298611995416,0.00716286769387495,0.00397937094104164,0.00238762256462498,0.000795874188208328,0.000265291396069443,0.000795874188208328,0.00106116558427777,0.000530582792138885,0,0.000265291396069443,0.00106116558427777,0.000795874188208328,0,0,0,0,0,0,0,0,0,0.487340294579566,0.494237870877372
"(1,1.5]",0,0,0,0,0,0,0,0,0,0,0,0,0.000795874188208328,0.00504053652531941,0.0116728214270555,0.0259985568148054,0.0657922662252218,0.0806485844051106,0.122034042191944,0.106116558427777,0.0801180016129717,0.0596905641156246,0.0453648287278747,0.0310390933401248,0.0244068084383887,0.00795874188208328,0.00397937094104164,0.00583641071352774,0.00689757629780551,0.00689757629780551,0.00238762256462498,0.000795874188208328,0.00132645698034721,0.000530582792138885,0,0,0,0,0,0,0,0,0,0,0.695328749098009,1.18956661997538
"(1.5,2]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00132645698034721,0.00663228490173607,0.020958020289486,0.0435077889553886,0.0565070673627913,0.0753427564837217,0.0620781866802496,0.0631393522645274,0.0472218685003608,0.0294473449637081,0.0180398149327221,0.0100810730506388,0.00636699350566662,0.00504053652531941,0.00795874188208328,0.00132645698034721,0.00265291396069443,0.00132645698034721,0.000265291396069443,0,0,0,0,0,0,0,0,0,0,0.459219406596205,1.64878602657159
"(2,2.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159174837641666,0.00291820535676387,0.0132645698034721,0.0294473449637081,0.0305085105479859,0.0522624050256802,0.0429772061632497,0.0543847361942357,0.0257332654187359,0.0204274374973471,0.011407530030986,0.00504053652531941,0.0037140795449722,0.00159174837641666,0.00291820535676387,0.000265291396069443,0,0,0,0,0,0,0,0,0,0,0,0.298452820578123,1.94723884714971
"(2.5,3]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.000265291396069443,0.000795874188208328,0.00450995373318053,0.00981578165456938,0.0198968547052082,0.0283861793794304,0.0366102126575831,0.0164480665563054,0.0230803514580415,0.0055711193174583,0.00636699350566662,0.00397937094104164,0.00159174837641666,0.00238762256462498,0.000530582792138885,0,0,0,0,0,0,0,0,0,0,0,0.160501294622013,2.10774014177172
"(3,3.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.00106116558427777,0.00716286769387495,0.00689757629780551,0.0127339870113332,0.0108769472388472,0.0145910267838193,0.00875461607029161,0.00955049025849994,0.00212233116855554,0.00424466233711108,0.000795874188208328,0.000530582792138885,0,0,0,0,0,0,0,0,0,0,0,0.0795874188208328,2.18732756059255
"(3.5,4]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.000265291396069443,0.0018570397724861,0.00238762256462498,0.00212233116855554,0.0111422386349166,0.00795874188208328,0.0037140795449722,0.00663228490173607,0.00397937094104164,0.00132645698034721,0,0,0,0,0,0,0,0,0,0,0,0,0.0416507491829025,2.22897830977546
"(4,4.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795874188208328,0,0.0018570397724861,0.00530582792138885,0.00265291396069443,0.00291820535676387,0.000530582792138885,0.000265291396069443,0,0,0,0,0,0,0,0,0,0,0,0,0.0143257353877499,2.24330404516321
"(4.5,5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0,0.00106116558427777,0.00106116558427777,0.00238762256462498,0.00106116558427777,0.000265291396069443,0.000795874188208328,0,0,0,0,0,0.000265291396069443,0,0,0,0,0,0.00716286769387495,2.25046691285708
