"","(0,0.5]","(0.5,1]","(1,1.5]","(1.5,2]","(2,2.5]","(2.5,3]","(3,3.5]","(3.5,4]","(4,4.5]","(4.5,5]","(5,5.5]","(5.5,6]","(6,6.5]","(6.5,7]","(7,7.5]","(7.5,8]","(8,8.5]","(8.5,9]","(9,9.5]","(9.5,10]","(10,10.5]","(10.5,11]","(11,11.5]","(11.5,12]","(12,12.5]","(12.5,13]","(13,13.5]","(13.5,14]","(14,14.5]","(14.5,15]","(15,15.5]","(15.5,16]","(16,16.5]","(16.5,17]","(17,17.5]","(17.5,18]","(18,18.5]","(18.5,19]","(19,19.5]","(19.5,20]","(20,20.5]","(20.5,21]","(21,21.5]","(21.5,22]","sum","cusum"
"(0,0.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(0.5,1]",0,0,0,0,0,0,0,0,0.000265291396069443,0.000530582792138885,0,0,0,0,0,0.000265291396069443,0.00106116558427777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00212233116855554,0.00212233116855554
"(1,1.5]",0,0,0,0,0,0,0,0.000530582792138885,0.00822403327815272,0.029977927755847,0.0713633855426801,0.0400590008064858,0.0259985568148054,0.00291820535676387,0.00212233116855554,0.00901990746636105,0.0129992784074027,0.00822403327815272,0.00822403327815272,0.00583641071352774,0.00424466233711108,0.00238762256462498,0.00424466233711108,0.00265291396069443,0.00106116558427777,0,0,0,0,0.000795874188208328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240884587631054,0.24300691879961
"(1.5,2]",0,0,0,0,0,0,0,0,0.000265291396069443,0.00689757629780551,0.0681798887898468,0.245129249968165,0.300575151746679,0.122034042191944,0.0909949488518188,0.0912602402478883,0.124686956152638,0.088076743495055,0.097096650961416,0.0705675113544717,0.0649963920370134,0.037140795449722,0.0334267159047498,0.0132645698034721,0.0108769472388472,0.00450995373318053,0.00450995373318053,0.00265291396069443,0.00265291396069443,0.00212233116855554,0.00106116558427777,0.000795874188208328,0.000265291396069443,0.000795874188208328,0,0.000530582792138885,0,0,0,0,0,0,0,0,1.48536652659281,1.72837344539242
"(2,2.5]",0,0,0,0,0,0,0,0,0,0,0.00159174837641666,0.0206927288934165,0.103728935863152,0.144053228065707,0.18092873211936,0.229477057600068,0.280413005645401,0.228946474807929,0.250169786493484,0.218069527569082,0.225762978055096,0.189948639585721,0.147236724818541,0.11407530030986,0.0819750413854578,0.0331614245086803,0.0254679740226665,0.0127339870113332,0.0103463644467083,0.00477524512924997,0.00159174837641666,0.00212233116855554,0.00159174837641666,0.00238762256462498,0.0018570397724861,0.00106116558427777,0.000530582792138885,0.000265291396069443,0.000265291396069443,0.000530582792138885,0,0,0,0,2.51575830892652,4.24413175431894
"(2.5,3]",0,0,0,0,0,0,0,0,0,0,0,0,0.00159174837641666,0.00716286769387495,0.0175092321405832,0.0586293985313468,0.14776730761068,0.19976442124029,0.268740184218345,0.243006918799609,0.274046012139734,0.26661785304979,0.23319113714504,0.189948639585721,0.183316354683985,0.0854238295343605,0.0742815908994439,0.0403242922025553,0.0246720998344582,0.0140604439916805,0.0055711193174583,0.00769345048601384,0.00822403327815272,0.000795874188208328,0.00212233116855554,0.0018570397724861,0.00132645698034721,0.000795874188208328,0.00106116558427777,0.000265291396069443,0.000265291396069443,0,0,0,2.36003225943376,6.60416401375271
"(3,3.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.00212233116855554,0.00795874188208328,0.0302432191519165,0.102667770278874,0.139808565728596,0.226028269451165,0.187561017021096,0.217538944776943,0.184112228872193,0.191540387962138,0.108504180992402,0.116728214270555,0.0660575576212912,0.0392631266182775,0.0392631266182775,0.013795152595611,0.00875461607029161,0.00450995373318053,0.00291820535676387,0.00238762256462498,0.00265291396069443,0.00212233116855554,0.000795874188208328,0,0,0.000530582792138885,0,0.000265291396069443,0,1.69839551763657,8.30255953138928
"(3.5,4]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0.00238762256462498,0.0127339870113332,0.0835667897618744,0.120442293815527,0.211171951271276,0.178010526762596,0.198703255656013,0.113544717517721,0.117789379854833,0.0843626639500828,0.0464259943121525,0.0326308417165415,0.0143257353877499,0.0103463644467083,0.00875461607029161,0.00504053652531941,0.00583641071352774,0.00424466233711108,0,0.000795874188208328,0,0.000265291396069443,0,0,0.000265291396069443,0,1.2519100980517,9.55446962944098
"(4,4.5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795874188208328,0.00106116558427777,0.00477524512924997,0.0167133579523749,0.0782609618404856,0.0912602402478883,0.149624347383166,0.100280147714249,0.112218260537374,0.0684451801859162,0.0440383717475275,0.0413854577868331,0.0169786493484443,0.013795152595611,0.00848932467422217,0.00795874188208328,0.00424466233711108,0.00106116558427777,0.00106116558427777,0.000530582792138885,0.000530582792138885,0,0,0,0,0,0.763508637887856,10.3179782673288
"(4.5,5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265291396069443,0,0,0.000795874188208328,0.0100810730506388,0.0156521923680971,0.0705675113544717,0.0700369285623329,0.101606604694597,0.0615476038881107,0.0429772061632497,0.0482830340846386,0.0244068084383887,0.0172439407445138,0.0145910267838193,0.00291820535676387,0.00291820535676387,0.00318349675283331,0.000530582792138885,0.000265291396069443,0,0,0,0.000265291396069443,0,0,0.488136168767775,10.8061144360966
